Student;Group;Grade
Liam O'Connor;1A;16
Sofia Rossi;1B;14
Noah Jensen;1C;18
Mila Novak;1D;10
Ethan Miller;1E;15
Emma Dubois;1F;13
Lucas Silva;1A;8
Hanna Kowalska;1B;19
Mateo Garcia;1C;14
Freya Andersen;1D;16
Oliver Brown;1E;11
Nina Petrov;1F;17
Jakob Schmidt;1A;13
Lea Martin;1B;15
Daniel Popescu;1C;7
Aisha Rahman;1D;14
Benjamin Clark;1E;20
Isabella Costa;1F;10
Leo Muller;1A;16
Sara Lindberg;1B;13
Samuel Evans;1C;9
Elena Ivanova;1D;18
Adam Novak;1E;14
Chloe Wilson;1F;16
Victor Moreau;1A;11
Ines Ferreira;1B;15
David Cohen;1C;19
Marta Zielinska;1D;8
Oscar Nilsson;1E;17
Julia Horvat;1F;13
Nathan White;1A;18
Aya Hassan;1B;10
Filip Svensson;1C;14
Clara Weber;1D;16
Gabriel Santos;1E;6
Laura Fernandez;1F;15
Thomas Baker;1A;12
Eva Kruger;1B;19
Marek Nowak;1C;16
Alice Johnson;1D;14
Yusuf Demir;1E;5
Camille Bernard;1F;17
Hugo Almeida;1A;13
Zoe Taylor;1B;9
Jonas Eriksen;1C;18
Lucia Romano;1D;15
Ryan Scott;1E;14
Petra Varga;1F;20
Finn Murphy;1A;7
Ana Sousa;1B;13
Alex Carter;1C;17
Greta Olsen;1D;11
Mohamed Aziz;1E;14
Elise Laurent;1F;18
Sebastian Diaz;1A;16
Klara Nagy;1B;14
Connor Hughes;1C;10
Maya Benali;1D;15
Owen Reed;1E;13
Tereza Dvorak;1F;8
Niklas Hansen;1A;19
Maria Lopes;1B;14
George Adams;1C;16
Anja Bosman;1D;12
Ali Yilmaz;1E;15
Celine Dupont;1F;17
Patrick Walsh;1A;20
Lina Bakker;1B;6
Diego Ortega;1C;14
Helena Costa;1D;16
Jack Robinson;1E;11
Rita Carvalho;1F;13
Erik Larsson;1A;17
Valentina Marino;1B;18
Mason Green;1C;8
Bianca Radu;1D;14
Pavel Sokolov;1E;16
Grace Hall;1F;10
Adrien Leroy;1A;15
Natalia Kaczmarek;1B;17
Isaac Cooper;1C;18
Daria Mihailova;1D;13
Kevin Brooks;1E;9
Elsa Gustavsson;1F;16
Bruno Teixeira;1A;7
Olivia Young;1B;14
Andreas Georgiou;1C;20
Megan Collins;1D;15
Ricardo Mendes;1E;13
Katarina Jovic;1F;11
Julian Fischer;1A;17
Sanne Visser;1B;18
Henry Moore;1C;14
Mina Stojanovic;1D;8
Ivan Pavlov;1E;16
Rose Mitchell;1F;13
Arthur King;1A;10
Monika Barta;1B;17
Nicolas Perrin;1C;15
Fatima Saleh;1D;19
Caleb Turner;1E;11
Beatrice Romano;1F;16
Simon Eklund;1A;14
Yara Haddad;1B;6
Dominik Urban;1C;17
Ella Brooks;1D;13
Ruben Delgado;1E;20
Theresa Fuchs;1F;9
Christian Olsen;1A;16
Chiara Greco;1B;14
Anton Lindholm;1C;18
Paula Mendes;1D;10
Michael Price;1E;15
Jasmine Khan;1F;17
Stefan Ionescu;1A;5
Louise Mercier;1B;13
Pedro Almeida;1C;16
Karolina Mazur;1D;14
Edward Bell;1E;19
Nora Dahl;1F;11
